City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Longyearbyen,SJ,15.64,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
81,Touros,BR,85.78,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
82,Castro,BR,72.93,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
83,Bambanglipuro,ID,76.78,broken clouds,-7.95,110.2833,Puri Brata
84,Acajutla,SV,87.37,overcast clouds,13.5928,-89.8275,Laureles
85,Port Elizabeth,ZA,67.32,clear sky,-33.918,25.5701,39 On Nile Guest House
88,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
89,Jamestown,US,60.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
90,Husavik,IS,36.5,broken clouds,66.0449,-17.3389,Bjarnabúð
91,Maxixe,MZ,80.42,few clouds,-23.8597,35.3472,Oceano
92,Aquiraz,BR,87.89,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
93,Dunedin,NZ,52.81,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
94,Shenjiamen,CN,61.02,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
95,Arauca,CO,93.2,few clouds,7.0847,-70.7591,Hotel Verano Plaza
96,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
97,Lagunas,PE,83.53,broken clouds,-5.2269,-75.6753,Hospedaje Eco
98,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
99,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
100,Kesan,TR,46.85,broken clouds,40.8558,26.6303,Saros Hotel
101,Thompson,CA,28.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
102,Kaitangata,NZ,46.0,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
104,Port Hardy,CA,42.98,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
105,Bredasdorp,ZA,69.03,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
106,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
107,Ahuimanu,US,75.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
108,Rumford,US,59.83,overcast clouds,44.5537,-70.5509,coastal rentals llc
109,Apatou,GF,83.62,broken clouds,5.155,-54.3472,Yoto quensha
110,Cape Town,ZA,69.28,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
112,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
113,Kurilsk,RU,35.2,snow,45.2333,147.8833,Hotel Ostrov
114,Kruisfontein,ZA,67.37,few clouds,-34.0033,24.7314,Oyster Bay House Rental
115,Faanui,PF,81.68,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
116,Taltal,CL,66.34,clear sky,-25.4,-70.4833,Residencial Karime
117,Pangnirtung,CA,12.2,broken clouds,66.1451,-65.7125,Kilabuk Lodge
118,San Policarpo,PH,77.14,overcast clouds,12.1791,125.5072,Agapita M. Nicart
119,Roald,NO,45.09,clear sky,62.5833,6.1333,Flem Cabins
